call_id,city,state,category,subcategory,total_seconds,resolution,transcript,csat_1_5,sentiment_score,sentiment_label
C458120101,New York,NY,Devices & Orders,Order Delay,865,Pending vendor response,"Agent (Quinn): Thanks for calling T-Mobile, this is Quinn. How can I help you today?
Customer: Hi, I'm calling from New York, NY. Tracking hasn't updated in days.
Agent (Quinn): I'll escalate to Tier 2 and set a callback window.
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Quinn): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",3,0.1,neutral
C169034912,Kansas City,MO,Billing & Payments,Overcharge,858,Replacement device shipped,"Agent (Avery): You're speaking with Avery from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Kansas City, MO. My bill jumped by $30 without reason.
Agent (Avery): I'm pushing a network refresh; please toggle airplane mode.
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C638801207,Nashville,TN,Account & App,App Crash,414,Goodwill credit issued,"Agent (Avery): Thanks for calling T-Mobile, this is Avery. How can I help you today?
Customer: Hi, I'm calling from Nashville, TN. The app crashes on launch.
Agent (Avery): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Avery): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C970690041,Brooklyn,NY,Network & Coverage,No Service,1420,Pending customer action,"Agent (Jordan): Hi, Jordan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Brooklyn, NY. I can't place calls since yesterday.
Agent (Jordan): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jordan): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",2,-0.2,neutral
C029604690,Des Moines,IA,Account & App,eSIM/SIM,706,Callback scheduled,"Agent (Taylor): Hi, Taylor here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Des Moines, IA. Need help transferring eSIM.
Agent (Taylor): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Taylor): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",3,0.0,neutral
C225533490,Indianapolis,IN,Plans & Features,Voicemail,865,Replacement device shipped,"Agent (Jamie): Thanks for calling T-Mobile, this is Jamie. How can I help you today?
Customer: Hi, I'm calling from Indianapolis, IN. Visual voicemail isn't loading.
Agent (Jamie): I'm pushing a network refresh; please toggle airplane mode.
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jamie): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",2,-0.15,neutral
C661500508,Tampa,FL,Network & Coverage,Dropped Calls,926,Resolved after escalation,"Agent (Avery): Hi, Avery here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Tampa, FL. Every call with my mom disconnects.
Agent (Avery): I'm pushing a network refresh; please toggle airplane mode.
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,-0.4,negative
C118786233,Manchester,NH,Devices & Orders,Device Setup,645,Escalated to Tier 2,"Agent (Casey): You're speaking with Casey from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Manchester, NH. Can't activate my new phone.
Agent (Casey): I see the issue. I'll file a ticket and apply a credit.
Agent (Casey): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Casey): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",2,-0.35,negative
C843482184,Nashville,TN,Network & Coverage,Dropped Calls,1114,Goodwill credit issued,"Agent (Cameron): Thanks for calling T-Mobile, this is Cameron. How can I help you today?
Customer: Hi, I'm calling from Nashville, TN. Every call with my mom disconnects.
Agent (Cameron): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C266694950,Dallas,TX,Network & Coverage,Dropped Calls,592,Escalated to Tier 2,"Agent (Taylor): Hi, Taylor here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Dallas, TX. Every call with my mom disconnects.
Agent (Taylor): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",3,0.0,neutral
C007057361,Newark,NJ,Devices & Orders,Order Delay,1078,Resolved on first call,"Agent (Taylor): Thanks for calling T-Mobile, this is Taylor. How can I help you today?
Customer: Hi, I'm calling from Newark, NJ. Tracking hasn't updated in days.
Agent (Taylor): I can help with that. Let me pull up your account.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C546395699,Newark,NJ,Plans & Features,Plan Change,882,Resolved on first call,"Agent (Sam): Thanks for calling T-Mobile, this is Sam. How can I help you today?
Customer: Hi, I'm calling from Newark, NJ. I want to add a line for my kid.
Agent (Sam): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Sam): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C353474131,Salt Lake City,UT,Account & App,App Crash,572,Goodwill credit issued,"Agent (Taylor): You're speaking with Taylor from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Salt Lake City, UT. Payment screen freezes every time.
Agent (Taylor): We can expedite shipping on a replacement.
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C769372594,Buffalo,NY,Billing & Payments,Payment Failure,681,Replacement device shipped,"Agent (Jamie): You're speaking with Jamie from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Buffalo, NY. My autopay failed even though my card works.
Agent (Jamie): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C966252933,Indianapolis,IN,Plans & Features,Hotspot Issues,904,Goodwill credit issued,"Agent (Rowan): Thanks for calling T-Mobile, this is Rowan. How can I help you today?
Customer: Hi, I'm calling from Indianapolis, IN. Laptop won't get internet from hotspot.
Agent (Rowan): I see the issue. I'll file a ticket and apply a credit.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C304669390,Dallas,TX,Devices & Orders,Order Delay,1147,Resolved on first call,"Agent (Drew): Hi, Drew here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Dallas, TX. Shipment is overdue.
Agent (Drew): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Agent (Drew): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Drew): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",2,-0.3,negative
C762108382,Brooklyn,NY,Billing & Payments,Refund Request,663,Callback scheduled,"Agent (Riley): Hi, Riley here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Brooklyn, NY. I was promised a credit that hasn't posted.
Agent (Riley): We can expedite shipping on a replacement.
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Riley): I'm checking logs and applying updates on my end.
Agent (Riley): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",3,-0.1,neutral
C371745075,Raleigh,NC,Devices & Orders,Upgrade Status,1001,Resolved after escalation,"Agent (Avery): Thanks for calling T-Mobile, this is Avery. How can I help you today?
Customer: Hi, I'm calling from Raleigh, NC. I want to confirm my trade-in was received.
Agent (Avery): I'm pushing a network refresh; please toggle airplane mode.
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Avery): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",2,-0.1,neutral
C106012030,Louisville,KY,Network & Coverage,No Service,1038,Resolved on first call,"Agent (Taylor): Thanks for calling T-Mobile, this is Taylor. How can I help you today?
Customer: Hi, I'm calling from Louisville, KY. My phone shows no bars at home.
Agent (Taylor): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C388900486,Charlotte,NC,Devices & Orders,Order Delay,1051,Goodwill credit issued,"Agent (Morgan): You're speaking with Morgan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Charlotte, NC. Shipment is overdue.
Agent (Morgan): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Morgan): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C570824401,San Diego,CA,Plans & Features,International Roaming,457,Replacement device shipped,"Agent (Jordan): Hi, Jordan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from San Diego, CA. No data while traveling abroad.
Agent (Jordan): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Agent (Jordan): I'm checking logs and applying updates on my end.
Agent (Jordan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jordan): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C698668891,Minneapolis,MN,Plans & Features,Plan Change,336,Replacement device shipped,"Agent (Drew): You're speaking with Drew from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Minneapolis, MN. Please move me to the new Go5G plan.
Agent (Drew): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C837866293,Manchester,NH,Devices & Orders,Device Setup,1158,Replacement device shipped,"Agent (Taylor): Hi, Taylor here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Manchester, NH. Wi‑Fi calling won't enable.
Agent (Taylor): I'm pushing a network refresh; please toggle airplane mode.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C302595049,Raleigh,NC,Account & App,Security/Pin Reset,625,Replacement device shipped,"Agent (Rowan): You're speaking with Rowan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Raleigh, NC. Forgot my PIN.
Agent (Rowan): We can expedite shipping on a replacement.
Agent (Rowan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C844267618,Philadelphia,PA,Billing & Payments,Payment Failure,571,Replacement device shipped,"Agent (Rowan): You're speaking with Rowan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Philadelphia, PA. My autopay failed even though my card works.
Agent (Rowan): We can expedite shipping on a replacement.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C924303267,Austin,TX,Account & App,App Crash,737,Goodwill credit issued,"Agent (Casey): You're speaking with Casey from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Austin, TX. Payment screen freezes every time.
Agent (Casey): I can help with that. Let me pull up your account.
Agent (Casey): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Casey): I'm checking logs and applying updates on my end.
Agent (Casey): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.95,positive
C393827133,Omaha,NE,Devices & Orders,Upgrade Status,991,Replacement device shipped,"Agent (Morgan): You're speaking with Morgan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Omaha, NE. Where's my upgrade order now?
Agent (Morgan): I'm pushing a network refresh; please toggle airplane mode.
Customer: That makes sense. What should I try next?
Agent (Morgan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Morgan): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.85,positive
C345879624,Columbus,OH,Network & Coverage,Slow Data,1143,Resolved on first call,"Agent (Parker): You're speaking with Parker from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Columbus, OH. My data is crawling at peak times.
Agent (Parker): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Agent (Parker): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Parker): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.85,positive
C603950221,Salt Lake City,UT,Account & App,App Crash,529,Resolved on first call,"Agent (Avery): Thanks for calling T-Mobile, this is Avery. How can I help you today?
Customer: Hi, I'm calling from Salt Lake City, UT. The app crashes on launch.
Agent (Avery): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Avery): I'm checking logs and applying updates on my end.
Agent (Avery): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C313516091,Savannah,GA,Devices & Orders,Upgrade Status,1285,Replacement device shipped,"Agent (Drew): Thanks for calling T-Mobile, this is Drew. How can I help you today?
Customer: Hi, I'm calling from Savannah, GA. Where's my upgrade order now?
Agent (Drew): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Drew): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Drew): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.85,positive
C453246022,Boise,ID,Devices & Orders,Order Delay,750,Resolved on first call,"Agent (Jamie): You're speaking with Jamie from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Boise, ID. Shipment is overdue.
Agent (Jamie): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C835652127,Cleveland,OH,Billing & Payments,Overcharge,650,Resolved on first call,"Agent (Quinn): Thanks for calling T-Mobile, this is Quinn. How can I help you today?
Customer: Hi, I'm calling from Cleveland, OH. My bill jumped by $30 without reason.
Agent (Quinn): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Quinn): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C985307555,Boise,ID,Billing & Payments,Payment Failure,442,Resolved on first call,"Agent (Jamie): Thanks for calling T-Mobile, this is Jamie. How can I help you today?
Customer: Hi, I'm calling from Boise, ID. Payment kept getting declined in the app.
Agent (Jamie): I'll escalate to Tier 2 and set a callback window.
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Jamie): I'm checking logs and applying updates on my end.
Agent (Jamie): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.9,positive
C891643567,Brooklyn,NY,Network & Coverage,Dropped Calls,587,Replacement device shipped,"Agent (Emerson): You're speaking with Emerson from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Brooklyn, NY. Every call with my mom disconnects.
Agent (Emerson): I'm pushing a network refresh; please toggle airplane mode.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Emerson): I'm checking logs and applying updates on my end.
Agent (Emerson): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C400273486,Portland,OR,Billing & Payments,Refund Request,580,Goodwill credit issued,"Agent (Taylor): You're speaking with Taylor from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Portland, OR. I returned a phone but haven't seen the refund.
Agent (Taylor): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Taylor): I'm checking logs and applying updates on my end.
Agent (Taylor): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C040250644,Omaha,NE,Billing & Payments,Refund Request,312,Replacement device shipped,"Agent (Hayden): You're speaking with Hayden from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Omaha, NE. I was promised a credit that hasn't posted.
Agent (Hayden): We can expedite shipping on a replacement.
Agent (Hayden): I'm checking logs and applying updates on my end.
Agent (Hayden): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Hayden): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C936398655,Oklahoma City,OK,Devices & Orders,Device Setup,795,Callback scheduled,"Agent (Rowan): Hi, Rowan here with T-Mobile Support—how may I assist?
Customer: Hi, I'm calling from Oklahoma City, OK. Can't activate my new phone.
Agent (Rowan): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): We’ll follow up once we have an update.
Customer: Okay, I'll wait for the update.",3,0.05,neutral
C988996509,Baltimore,MD,Plans & Features,Hotspot Issues,735,Resolved on first call,"Agent (Cameron): Thanks for calling T-Mobile, this is Cameron. How can I help you today?
Customer: Hi, I'm calling from Baltimore, MD. Laptop won't get internet from hotspot.
Agent (Cameron): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C570469336,Pittsburgh,PA,Devices & Orders,Device Setup,1026,Goodwill credit issued,"Agent (Riley): Thanks for calling T-Mobile, this is Riley. How can I help you today?
Customer: Hi, I'm calling from Pittsburgh, PA. Can't activate my new phone.
Agent (Riley): I'll escalate to Tier 2 and set a callback window.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Riley): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C159386057,Honolulu,HI,Billing & Payments,Promo Not Applied,341,Replacement device shipped,"Agent (Rowan): You're speaking with Rowan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Honolulu, HI. The trade-in promo didn't apply.
Agent (Rowan): I'll walk you through an eSIM reactivation.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): I'm checking logs and applying updates on my end.
Agent (Rowan): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C636437447,San Antonio,TX,Devices & Orders,Return/Exchange,1020,Replacement device shipped,"Agent (Drew): You're speaking with Drew from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from San Antonio, TX. The phone reboots randomly.
Agent (Drew): Thanks for the details. I'll run diagnostics on your line.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I'm checking logs and applying updates on my end.
Agent (Drew): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",3,0.0,neutral
C546928847,Brooklyn,NY,Plans & Features,Hotspot Issues,734,Resolved on first call,"Agent (Skyler): You're speaking with Skyler from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Brooklyn, NY. Hotspot disconnects frequently.
Agent (Skyler): Thanks for the details. I'll run diagnostics on your line.
Customer: That makes sense. What should I try next?
Agent (Skyler): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Skyler): I'm checking logs and applying updates on my end.
Agent (Skyler): You're all set. Anything else I can do for you today?
Customer: Thanks, that fixed it.",5,0.9,positive
C785362624,Oklahoma City,OK,Network & Coverage,Slow Data,635,Pending vendor response,"Agent (Morgan): You're speaking with Morgan from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Oklahoma City, OK. My data is crawling at peak times.
Agent (Morgan): I'm pushing a network refresh; please toggle airplane mode.
Agent (Morgan): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Morgan): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",2,-0.4,negative
C237334589,Oklahoma City,OK,Plans & Features,Plan Change,939,Resolved after escalation,"Agent (Sam): You're speaking with Sam from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Oklahoma City, OK. I want to add a line for my kid.
Agent (Sam): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): I'm checking logs and applying updates on my end.
Agent (Sam): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",3,0.1,neutral
C208913223,Raleigh,NC,Devices & Orders,Order Delay,745,Replacement device shipped,"Agent (Reese): Thanks for calling T-Mobile, this is Reese. How can I help you today?
Customer: Hi, I'm calling from Raleigh, NC. Shipment is overdue.
Agent (Reese): Thanks for the details. I'll run diagnostics on your line.
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Reese): I'm checking logs and applying updates on my end.
Agent (Reese): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",2,-0.4,negative
C122964546,Nashville,TN,Billing & Payments,Refund Request,899,Callback scheduled,"Agent (Skyler): You're speaking with Skyler from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Nashville, TN. I returned a phone but haven't seen the refund.
Agent (Skyler): I see the issue. I'll file a ticket and apply a credit.
Customer: That makes sense. What should I try next?
Agent (Skyler): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Skyler): Your ticket is in progress; thanks for your patience.
Customer: Okay, I'll wait for the update.",4,0.7,positive
C739148401,Salt Lake City,UT,Network & Coverage,No Service,1674,Goodwill credit issued,"Agent (Quinn): You're speaking with Quinn from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Salt Lake City, UT. I can't place calls since yesterday.
Agent (Quinn): I'll escalate to Tier 2 and set a callback window.
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Quinn): I'm checking logs and applying updates on my end.
Agent (Quinn): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.9,positive
C803272885,Burlington,VT,Billing & Payments,Promo Not Applied,564,Goodwill credit issued,"Agent (Emerson): You're speaking with Emerson from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Burlington, VT. The trade-in promo didn't apply.
Agent (Emerson): I'll walk you through an eSIM reactivation.
Agent (Emerson): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Emerson): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Agent (Emerson): Glad we could get this resolved on the first call.
Customer: Thanks, that fixed it.",5,0.95,positive
C468288459,Manchester,NH,Network & Coverage,No Service,822,Callback scheduled,"Agent (Quinn): You're speaking with Quinn from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Manchester, NH. My phone shows no bars at home.
Agent (Quinn): We can expedite shipping on a replacement.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Quinn): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Quinn): I’ve scheduled a callback for tomorrow to confirm.
Customer: Okay, I'll wait for the update.",3,-0.1,neutral
C958867464,Nashville,TN,Billing & Payments,Overcharge,539,Replacement device shipped,"Agent (Cameron): You're speaking with Cameron from T-Mobile Care. What can I do for you?
Customer: Hi, I'm calling from Nashville, TN. I was billed twice for last month.
Agent (Cameron): I can help with that. Let me pull up your account.
Customer: That makes sense. What should I try next?
Agent (Cameron): I'm checking logs and applying updates on my end.
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Customer: That makes sense. What should I try next?
Agent (Cameron): We’ve applied the fix—thanks for your patience!
Customer: Thanks, that fixed it.",5,0.85,positive
